ID;description;status
1;Temporada de Playa;1
2;Temporada de Utiles escolares;1
3;Semana Santa;1
4;Día de la madre;1
5;Dia de la Bandera;1
6;Día del padre;1
7;Fiestas Patrias;1
8;Señor de los Milagros;1
9;Todos los Santos;1
10;Navidad;1
11;Sin Temporada;1
